Filesnames,zcr,spectral_c,rolloff,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Labels
Dataset_final/Dataset/Training\Autre100852-0-0-1.wav,16156,2670.829617697392,4752.863360278179,-50.2266,78.69513,-46.20458,43.65234,2.3805053,17.450968,4.0004663,10.140392,-8.461994,6.973171,-9.031436,10.5681095,-7.751867,13.747864,-8.849403,12.609178,-8.494579,9.908183,-7.146192,10.837035,-1
Dataset_final/Dataset/Training\Autre100852-0-0-10.wav,16351,2756.908513206018,5037.213663972182,-41.881584,74.07616,-41.5399,42.751675,3.983905,17.797949,1.7701123,10.926057,-8.454201,7.787359,-7.420669,10.047766,-7.5151386,13.973954,-8.843555,12.181714,-7.1256175,9.058297,-7.3422804,12.175745,-1
Dataset_final/Dataset/Training\Autre100852-0-0-11.wav,16383,2766.2298485607575,5055.635132541546,-42.771046,73.59247,-41.159626,42.89692,3.6672971,17.910955,1.2832505,10.457306,-8.195704,7.4498663,-7.526448,10.235897,-6.6791415,13.795131,-8.775767,11.842168,-6.592625,9.924829,-6.605026,12.242113,-1
Dataset_final/Dataset/Training\Autre100852-0-0-12.wav,16567,2746.3112237241016,4961.411810196893,-48.72307,74.833954,-42.512245,43.265842,1.5923105,18.140415,2.1696644,9.990928,-8.40152,7.68325,-7.4256516,9.3632965,-6.397996,13.346903,-8.972944,11.968573,-6.418177,10.185614,-6.7937937,12.342649,-1
Dataset_final/Dataset/Training\Autre100852-0-0-13.wav,16838,2745.376964616692,4917.474118271315,-51.78221,75.15314,-43.04865,43.712822,0.48104796,17.889355,2.8264468,9.901212,-8.413645,7.6851735,-7.0027957,8.861219,-6.834165,13.566056,-8.536072,11.871294,-6.0763526,9.790651,-7.4285126,12.329398,-1
Dataset_final/Dataset/Training\Autre100852-0-0-14.wav,16997,2750.9198602142574,4914.051210260116,-51.501587,74.98179,-43.033157,44.405334,0.44523337,17.183504,2.2804916,10.04929,-7.9726815,7.1546016,-6.954134,9.066306,-7.003727,13.69258,-8.053994,12.273152,-6.1230955,9.342577,-7.5595407,12.103957,-1
Dataset_final/Dataset/Training\Autre100852-0-0-15.wav,16695,2736.1600661358593,4889.717446035043,-50.454727,75.53607,-43.029907,44.9664,1.378503,17.506546,2.2942681,9.85676,-7.5332527,6.9223695,-7.1005507,9.5162,-6.9978647,13.778377,-8.303425,12.451014,-6.5361257,9.6139555,-7.5320883,12.308069,-1
Dataset_final/Dataset/Training\Autre100852-0-0-16.wav,16685,2748.728077065867,4912.619812364524,-50.449333,74.79156,-42.549294,44.531178,2.052401,17.831287,2.7992916,9.355098,-7.521286,7.0070267,-7.6670446,9.644644,-6.640296,14.390564,-8.898436,12.259656,-6.423509,9.697548,-7.655327,12.83264,-1
Dataset_final/Dataset/Training\Autre100852-0-0-17.wav,16555,2745.066148247422,4919.092220240245,-50.162064,75.297104,-42.553886,43.29395,1.197657,17.422197,3.1585488,9.853585,-7.1089234,7.7365823,-7.7442718,9.93617,-6.521168,14.423222,-8.962315,12.164566,-6.667736,9.87629,-7.4392314,13.216554,-1
Dataset_final/Dataset/Training\Autre100852-0-0-18.wav,16659,2731.1835930611423,4900.670751670881,-49.967243,76.25671,-43.189297,42.291607,0.82470465,16.748533,2.9254699,10.80425,-7.239958,7.1481566,-7.3907514,9.686357,-6.9743066,13.751198,-9.174032,12.56088,-6.430492,9.767357,-7.60106,12.826793,-1
Dataset_final/Dataset/Training\Autre100852-0-0-19.wav,16603,2726.892776074533,4903.720251535405,-50.300232,76.69235,-43.153976,42.32148,0.4202894,17.234089,3.0521371,11.5671,-7.5502295,6.7954836,-7.606825,9.203186,-6.9980116,13.654918,-9.253242,12.814403,-6.5865474,9.473941,-8.073068,12.821509,-1
Dataset_final/Dataset/Training\Autre100852-0-0-2.wav,16179,2661.374869325766,4732.948259122109,-50.935974,79.07473,-45.932884,43.56447,2.2090912,17.399736,4.051383,10.184583,-8.248811,6.0502152,-9.055554,10.924439,-7.3122835,13.5600195,-9.095051,12.664843,-8.748545,9.990322,-7.075544,11.39545,-1
Dataset_final/Dataset/Training\Autre100852-0-0-20.wav,16398,2764.7548437295745,5018.294317873916,-49.40683,74.17078,-41.46019,42.844017,1.5614132,18.23958,3.4981503,11.155817,-8.196611,7.91448,-8.265256,9.191979,-6.3479123,13.961641,-8.651453,12.476292,-6.538405,10.6099615,-7.5219216,13.018637,-1
Dataset_final/Dataset/Training\Autre100852-0-0-21.wav,16223,2774.1069969246505,5057.128765128252,-50.144375,72.822105,-41.069168,43.816685,3.2608166,18.808046,3.0255177,10.779603,-8.696453,7.761719,-8.071535,8.395386,-6.2695036,13.485219,-8.892014,12.557898,-6.495973,10.924408,-6.98352,12.898117,-1
Dataset_final/Dataset/Training\Autre100852-0-0-22.wav,16054,2736.6184104659214,4997.819104497832,-51.46489,74.85026,-41.612408,43.96456,3.2819154,18.648367,2.1293616,11.547229,-8.505601,6.661604,-7.7930713,7.587738,-6.338757,13.337474,-9.18784,12.716215,-7.551221,10.153501,-7.5472093,12.8810425,-1
Dataset_final/Dataset/Training\Autre100852-0-0-23.wav,16382,2744.5307035765745,5021.281583047326,-51.62359,75.0452,-41.519745,43.335033,2.9568737,17.933815,1.3640275,11.823566,-9.092449,6.6249356,-8.090294,7.245204,-6.9456053,13.480172,-9.197207,12.476992,-7.6814895,10.2711735,-8.066268,12.570143,-1
Dataset_final/Dataset/Training\Autre100852-0-0-24.wav,16557,2750.4236504031505,5011.821909998193,-50.927216,74.63951,-42.004776,43.551453,3.4630473,17.482632,1.2918198,12.06095,-9.066007,6.4820495,-7.5942554,7.379784,-7.5469885,12.67575,-9.458585,12.241757,-8.407275,9.626003,-8.326863,12.36399,-1
Dataset_final/Dataset/Training\Autre100852-0-0-25.wav,16395,2760.464416353516,5028.438572525289,-49.84148,73.864876,-41.918648,43.75592,3.943907,17.356161,1.3392916,12.377018,-8.323862,6.115443,-7.66312,7.439988,-7.5547905,11.809426,-9.412087,12.543292,-9.128126,8.4800825,-8.644899,12.297072,-1
Dataset_final/Dataset/Training\Autre100852-0-0-26.wav,16181,2767.224328649634,5066.4639687951585,-49.998398,73.9223,-40.86714,43.465076,3.0288157,17.33701,1.0975258,11.389116,-9.140645,6.4219236,-8.230614,6.453796,-7.5954733,11.729331,-9.795542,12.035989,-8.411383,8.45167,-8.989701,12.181996,-1
Dataset_final/Dataset/Training\Autre100852-0-0-27.wav,15977,2759.833361718405,5072.811907288656,-51.063454,74.278076,-40.21352,43.521744,2.9849274,17.874706,0.916296,10.716587,-9.762339,6.679646,-7.956614,6.144533,-7.354017,12.328469,-10.351382,11.373174,-7.660592,9.536865,-9.004427,12.735611,-1
Dataset_final/Dataset/Training\Autre100852-0-0-28.wav,15999,2764.3323101504743,5101.128691744942,-50.847607,74.0899,-40.228565,42.713524,3.1402764,18.227648,0.6348793,10.393357,-9.5525255,7.248229,-7.1731606,6.2162905,-7.296736,12.398637,-10.303178,11.485545,-7.7538667,9.30808,-9.115169,12.941147,-1
Dataset_final/Dataset/Training\Autre100852-0-0-29.wav,16088,2791.162099947984,5182.220494264812,-48.71035,73.24271,-38.968468,41.89996,2.7859454,17.882593,0.6771085,10.297445,-9.612458,8.245612,-7.062138,5.876302,-7.2514086,12.261319,-10.286198,10.957288,-7.8593907,9.293352,-8.880874,12.708996,-1
Dataset_final/Dataset/Training\Autre100852-0-0-3.wav,16077,2660.313644192414,4755.975094833815,-50.47655,79.15248,-45.285824,43.489113,2.3490849,17.468925,3.2086294,10.455937,-8.261516,5.861243,-9.294039,11.001323,-7.5065184,13.725078,-8.862931,13.024513,-8.370659,9.634818,-7.5848546,11.18593,-1
Dataset_final/Dataset/Training\Autre100852-0-0-30.wav,16105,2829.110555989464,5291.753550623193,-44.568027,70.857704,-37.06905,42.145073,3.9763324,17.794746,1.6573744,11.584184,-9.15622,8.788978,-6.8962064,7.168219,-5.9580097,13.387171,-9.57261,11.593629,-6.8820467,9.46028,-7.5456796,12.80077,-1
Dataset_final/Dataset/Training\Autre100852-0-0-4.wav,16201,2679.313283543847,4798.045746026011,-48.087597,78.05556,-44.720623,43.734104,2.7283933,17.29805,2.363039,10.360689,-8.582608,6.6998553,-8.849042,10.65433,-7.7197123,14.434961,-8.886932,12.702089,-7.2440963,10.57406,-7.7495556,11.162912,-1
Dataset_final/Dataset/Training\Autre100852-0-0-5.wav,16467,2702.1326975098655,4835.511030075867,-46.7135,76.88039,-44.45897,43.65806,2.4870145,17.52776,2.7385292,10.655176,-8.038509,6.6249533,-8.542825,10.251873,-7.638738,14.590699,-9.599013,12.196828,-6.6483827,10.378037,-8.337119,11.57138,-1
Dataset_final/Dataset/Training\Autre100852-0-0-6.wav,16639,2727.222204017395,4886.232303332731,-47.074852,75.77696,-44.23475,43.49687,2.7411613,17.634438,2.329824,10.393423,-7.987177,6.3895473,-8.843518,10.151501,-8.067877,14.159253,-9.997976,11.9236555,-6.9395404,10.080668,-8.531232,11.820698,-1
Dataset_final/Dataset/Training\Autre100852-0-0-7.wav,17125,2775.5273872587254,4981.513615426301,-44.61712,73.25609,-44.623455,42.163357,3.873255,17.512594,1.1280007,8.781009,-7.875672,6.7669344,-9.470729,9.965017,-8.176123,13.529926,-9.6654625,12.024187,-7.0884337,11.278943,-7.2514453,11.473683,-1
Dataset_final/Dataset/Training\Autre100852-0-0-8.wav,17088,2766.790946651975,4972.80075867052,-44.40594,73.75758,-44.525917,41.677544,3.2645948,17.316135,1.2417676,9.233204,-7.5436897,6.6693897,-8.937179,9.806649,-8.364186,13.627786,-9.672149,11.910151,-7.1069317,10.956778,-6.814552,11.703393,-1
Dataset_final/Dataset/Training\Autre100852-0-0-9.wav,16597,2734.455359948765,4941.496709040824,-45.77654,75.348785,-43.17923,42.822567,2.8757555,17.492512,2.0656605,10.947593,-8.324614,6.7651944,-7.8786182,9.781359,-8.157697,13.992041,-9.773069,12.124098,-7.437322,9.14769,-7.4174733,12.188058,-1
Dataset_final/Dataset/Training\Autre101281-3-0-0.wav,22507,3487.230344890427,6427.972306268063,-188.48169,28.978626,-57.008118,-0.17105861,-17.617281,-5.1429253,-13.149312,8.9745655,-7.5024886,5.422865,-4.4196515,14.003262,-6.8523555,7.798997,-2.107817,13.588782,-5.4473248,9.423407,-6.743599,4.462976,-1
Dataset_final/Dataset/Training\Autre101281-3-0-14.wav,19289,3213.805233208613,5955.735470104769,-70.54465,35.173393,-63.52959,-6.100931,-26.672941,-9.308702,-19.36514,4.567131,-11.67865,8.022085,-0.34104836,14.88666,-2.9250312,11.401865,-4.772368,10.303473,-6.9319963,7.258085,-8.544487,1.5519105,-1
Dataset_final/Dataset/Training\Autre101281-3-0-5.wav,19964,3127.57583011903,5521.026152682442,-143.97765,42.155876,-65.41114,5.5910487,-18.309273,-7.8901196,-15.701269,7.2975984,-8.90056,5.044939,-2.9405186,11.988505,-9.721906,5.735072,-6.6117783,6.605841,-7.3946753,6.571323,-5.808979,4.645365,-1
Dataset_final/Dataset/Training\Autre101848-9-0-0.wav,5152,1334.00174495595,2434.6833510205925,-222.08414,148.64607,-7.3079467,14.49264,8.364048,11.663031,-11.869479,9.15763,4.6664524,2.88702,-8.80703,5.6888895,-6.784334,0.23988292,-6.445739,-0.50115436,-11.546361,0.32833317,-5.6531906,2.0195994,-1
Dataset_final/Dataset/Training\Autre101848-9-0-1.wav,4864,1330.666362116338,2430.202453260477,-223.79651,149.06343,-8.231984,13.93085,7.9379754,13.179854,-11.844836,11.901626,3.1142812,3.2208612,-10.130539,5.138654,-7.192174,0.081136435,-6.554365,-2.5903907,-11.506342,3.6853702,-6.2394285,-0.2360839,-1
Dataset_final/Dataset/Training\Autre101848-9-0-2.wav,5767,1439.9144135502381,2798.6940593388726,-222.34741,142.43016,-5.9444256,14.836391,5.1833935,16.064947,-12.68515,13.731643,1.3815943,-0.80689144,-11.918773,4.2405066,-6.6200852,3.1844268,-4.064935,1.9979806,-10.251226,0.008874265,-5.528381,0.6805839,-1
Dataset_final/Dataset/Training\Autre101848-9-0-3.wav,5325,1337.5761597701508,2584.855660675578,-227.14943,149.40128,-5.457124,14.75473,6.279294,16.421297,-9.593785,9.885366,-1.6871139,-2.011049,-9.965504,2.4718542,-8.038619,2.4010096,-3.7333992,1.7625339,-7.6169143,-0.3897213,-5.3441005,0.660795,-1
Dataset_final/Dataset/Training\Autre101848-9-0-8.wav,4709,1304.68057538134,2376.8673229768788,-237.7564,153.51656,-5.822186,14.838012,4.3352966,15.108998,-13.596533,4.590559,1.9382957,2.7110598,-7.049737,6.3138885,-4.946371,1.5258577,-5.016795,0.07400899,-6.041013,5.28324,-4.9649477,2.767404,-1
Dataset_final/Dataset/Training\Autre101848-9-0-9.wav,5304,1390.1933420223445,2575.27151824422,-231.80742,147.12859,-5.3647466,15.834597,4.5705857,14.890569,-15.510711,7.7456408,2.4945161,5.043588,-5.078069,6.555598,-5.4146132,-1.6057993,-4.9295597,0.9769,-8.850466,3.0096464,-4.780535,2.543427,-1
Dataset_final/Dataset/Training\Autre102105-3-0-0.wav,11900,2380.973008471628,4311.308226833454,-245.95119,90.68778,-52.051155,0.6747191,-12.784342,-3.3957403,-4.374891,-2.8387878,1.8452883,7.746735,-0.6311887,14.083222,-5.0860686,8.006047,-9.052658,1.7774005,-6.700151,5.787753,-2.372222,5.8068438,-1
Dataset_final/Dataset/Training\Autre102842-3-0-1.wav,5192,1880.002103910951,4891.70895615065,-394.31882,103.102875,35.9561,33.934334,7.612134,14.945269,-2.74981,5.613903,-8.67885,0.8227857,-10.529346,0.23984538,-7.600614,6.0808926,0.8572715,12.653669,3.7810574,9.726614,-2.2576203,4.0921483,-1
Dataset_final/Dataset/Training\Autre102842-3-1-0.wav,5630,1927.55652143817,4759.211298771676,-376.89206,109.16427,19.979254,25.097563,0.28715596,13.648903,-7.9720874,1.4933023,-11.671613,6.734643,-5.0949297,8.506906,-4.2193575,12.013421,4.5219336,17.56061,1.4048524,8.667707,-7.0710287,2.0773358,-1
Dataset_final/Dataset/Training\Autre102842-3-1-5.wav,7754,2412.700828418219,5882.920881502891,-394.65952,89.71343,14.844179,26.022844,3.1179752,14.62175,-4.5333395,7.566145,-6.2574654,8.527706,-3.8611007,9.306165,-1.0305271,12.346112,3.0067358,15.550602,2.1302328,7.0487885,-7.6273565,1.5215409,-1
Dataset_final/Dataset/Training\Autre102842-3-1-6.wav,8195,2519.3796681521685,6047.15823134935,-399.0142,85.469345,13.267502,25.71289,2.5869796,15.476385,-2.5738258,9.685665,-5.651946,8.396917,-3.1263523,9.475224,-1.6510156,12.819553,3.6699352,14.859234,0.92882216,6.656212,-8.012198,1.6325885,-1
Dataset_final/Dataset/Training\Autre102853-8-0-0.wav,8939,1634.115755690642,2769.381519824783,-212.47015,135.8524,-44.78675,-6.706305,-25.667315,7.7700787,9.365146,24.432549,-8.97528,-5.032223,-9.252158,2.6558952,-19.054453,-6.3336625,-7.8801255,0.43459448,-11.104814,2.9125464,-13.257198,-2.6457624,-1
Dataset_final/Dataset/Training\Autre102853-8-0-1.wav,9161,1672.7615097862379,2805.5398753612717,-208.63371,132.50554,-47.376297,-9.47228,-21.644215,11.473307,9.0824795,20.53594,-10.4508095,-5.887345,-7.401916,3.3998244,-15.837729,-5.124356,-6.310001,2.2241807,-8.374067,0.3328957,-13.120224,-1.239367,-1
Dataset_final/Dataset/Training\Autre102853-8-0-2.wav,9137,1705.7000440674385,2929.262441293353,-213.57402,132.05779,-40.00148,-11.619365,-20.0172,15.006312,7.255137,20.967466,-9.144072,-4.3319607,-7.456156,2.9623663,-13.548884,-2.7454858,-6.04171,3.2750301,-7.1242337,-0.5064886,-11.9660635,0.9434967,-1
Dataset_final/Dataset/Training\Autre102853-8-0-3.wav,9744,1882.3768563369003,3517.815915146315,-221.08661,123.67694,-34.388603,-10.308623,-17.316347,22.004524,6.87207,21.365513,-13.579675,-1.2779006,-5.5779657,7.131853,-13.680961,-0.9120386,-7.7637014,5.0771837,-7.7408767,1.6952596,-12.925855,3.1360064,-1
Dataset_final/Dataset/Training\Autre102853-8-0-4.wav,11179,2281.4415355429155,4936.953576589595,-208.98857,109.4162,-23.678646,-12.630714,-12.081447,19.114504,8.60656,19.657974,-9.478128,-1.1282742,-5.245853,6.158494,-13.202589,0.5897406,-5.791921,6.4556527,-7.970374,2.275451,-12.735522,5.405087,-1
Dataset_final/Dataset/Training\Autre102853-8-0-5.wav,10798,2285.6680812443333,5004.41598175578,-197.7243,111.24311,-23.883787,-9.834016,-14.372265,13.154779,4.5102873,18.02542,-5.513641,1.4981017,-7.693276,0.9719612,-14.908752,3.3753788,-4.1238155,6.7367983,-10.115328,2.2971377,-9.318993,7.8437514,-1
Dataset_final/Dataset/Training\Autre102853-8-0-6.wav,9336,1982.7357713967397,4054.65236068461,-193.09872,120.9174,-29.890812,1.4981515,-16.409676,17.565004,-1.3034978,13.919967,-5.1978755,7.341286,-4.3503413,2.6603959,-14.225233,4.801352,-6.537143,5.302606,-12.032594,3.8433287,-6.1634502,9.0046425,-1
Dataset_final/Dataset/Training\Autre102853-8-1-0.wav,8408,1678.9848207119917,3029.273589911488,-205.0867,138.5017,-34.33414,-6.0938826,-26.30156,18.78509,-6.585397,16.601017,2.2769294,0.18858346,-20.556852,1.1806864,-12.171003,3.7558453,-5.7655764,-1.9874046,-8.566278,6.168242,-2.9341872,6.6579294,-1
Dataset_final/Dataset/Training\Autre102857-5-0-0.wav,2190,1606.9096964978548,3459.999887102601,-154.3268,111.93263,-18.997189,16.095734,3.644865,22.96917,4.663036,32.307034,9.178743,11.379887,-3.5383487,17.078478,9.042522,8.890061,-6.0903716,6.0023837,2.3908715,3.3674395,-9.981316,13.655147,-1
Dataset_final/Dataset/Training\Autre102857-5-0-1.wav,2302,1604.5381167308062,3475.4963251896675,-155.28148,111.84359,-18.217728,16.503551,4.0427012,23.743204,3.839074,32.28238,9.332082,11.902885,-2.8041682,17.374046,8.3426,8.187727,-6.4193296,6.927476,3.3319178,3.7218893,-9.990022,12.773023,-1
Dataset_final/Dataset/Training\Autre102857-5-0-10.wav,1923,1631.7758714184938,3612.5993497109826,-154.06934,108.527954,-17.461107,16.137125,2.9192157,23.28167,5.33127,33.7386,9.328046,11.906208,-2.541051,15.748953,8.949624,8.9328785,-4.7594867,8.101132,3.7274728,3.5260184,-11.091555,12.095073,-1
Dataset_final/Dataset/Training\Autre102857-5-0-11.wav,1810,1594.5665387598588,3515.575466266257,-153.05226,110.79652,-15.870646,16.614094,3.2352846,22.743036,4.2386575,32.816956,8.743243,12.309843,-2.5544152,14.364435,8.107149,9.63337,-3.4846156,9.7366,3.00034,3.5334876,-9.950648,12.569833,-1
Dataset_final/Dataset/Training\Autre102857-5-0-12.wav,1881,1608.415345460612,3546.2571689848264,-153.71983,110.47645,-16.3779,16.704615,3.483742,22.47608,3.7195766,32.445995,9.205985,13.202522,-2.7661967,14.273894,7.947301,9.206966,-4.119197,9.85817,2.623752,4.7165847,-8.933845,13.23329,-1
Dataset_final/Dataset/Training\Autre102857-5-0-13.wav,1930,1614.2875128918256,3556.525893018425,-155.04225,109.99007,-16.742722,16.384748,3.9646568,22.400167,3.9562142,32.55405,9.348317,12.652524,-2.839569,14.993503,8.322869,8.6935005,-4.1597347,9.223321,2.6499593,5.435256,-7.865789,13.873735,-1
Dataset_final/Dataset/Training\Autre102857-5-0-14.wav,2014,1594.9614995777338,3495.784834492413,-155.65167,111.81838,-15.639177,16.341412,3.5854316,21.97561,3.7568722,32.119293,8.397471,11.887672,-2.6910446,15.284301,8.698824,8.623718,-3.8987896,9.066011,2.9719303,5.516718,-7.5766673,14.4415,-1
Dataset_final/Dataset/Training\Autre102857-5-0-15.wav,1962,1597.981838418053,3510.0365787572255,-156.27531,111.39371,-16.55188,16.358227,2.8349078,22.042168,4.320587,32.437878,8.859379,12.626809,-2.2068172,14.725473,7.9112906,8.161574,-4.1778183,8.368884,3.3526103,5.548066,-7.5240726,14.358644,-1
Dataset_final/Dataset/Training\Autre102857-5-0-16.wav,1930,1609.7450738911728,3571.7733923410406,-156.27876,110.240265,-17.416664,16.305305,1.9973935,22.434032,4.8652024,32.658257,9.306541,12.766326,-1.8365782,14.53372,8.108389,7.937251,-4.0919557,7.803452,3.283081,5.63869,-7.747536,13.810117,-1
Dataset_final/Dataset/Training\Autre102857-5-0-17.wav,1857,1626.8917532939647,3631.3319917359104,-155.43063,109.279045,-17.651596,15.614661,1.7015898,22.86437,4.4472537,33.189915,9.192582,12.490505,-1.7307923,14.830961,8.892864,7.920925,-4.533062,7.9176426,3.4568555,5.4552565,-8.165433,13.622924,-1
Dataset_final/Dataset/Training\Autre102857-5-0-18.wav,1832,1631.7889024711983,3628.9670734736274,-153.41689,110.073296,-16.59748,15.760866,2.1721473,22.511019,3.7794013,32.765427,8.784965,11.809668,-2.7456987,14.587805,8.342767,8.181164,-4.3334217,8.409866,4.0254936,4.73957,-8.101106,13.738792,-1
Dataset_final/Dataset/Training\Autre102857-5-0-19.wav,1929,1608.1265407759067,3539.4735876535406,-153.40483,111.53683,-16.20265,16.068302,2.4024954,22.345514,4.1068707,32.47421,8.392728,11.466611,-3.2130318,14.389132,8.065147,8.489772,-3.693703,9.060255,4.054805,4.225499,-8.673737,13.115084,-1
Dataset_final/Dataset/Training\Autre102857-5-0-2.wav,2422,1631.6682413268754,3594.1156464505057,-154.60016,110.760025,-19.004282,16.13196,3.1811295,25.249672,3.8230488,31.89136,9.754847,12.428278,-3.2033553,16.615091,8.039939,8.506694,-6.289813,7.5097437,3.8760684,4.74226,-10.045612,12.293261,-1
